Название,Дата,Место,Жанр,Цена,Мест,Описание
Концерт группы "Лето",2025-06-18 19:00,Москва,Концерт,1200,150,Энергичный летний концерт на открытом воздухе.
Фестиваль уличной еды,2025-07-05 12:00,Санкт-Петербург,Фестиваль,600,300,Десятки фудтраков и живая музыка весь день.
Мастер-класс по фотографии,2025-05-25 14:30,Казань,Мастер-класс,800,20,Учим снимать в ручном режиме на улице.
Театр "Гамлет",2025-08-10 18:00,Екатеринбург,Театр,900,100,Классическая постановка Шекспира.
Киноночь Тарантино,2025-06-01 22:00,Новосибирск,Кино,500,80,Марафон из 3-х культовых фильмов Тарантино.
Ярмарка ремёсел,2025-07-15 10:00,Нижний Новгород,Ярмарка,300,250,Изделия ручной работы и мастер-классы.
Воркшоп по граффити,2025-06-12 16:00,Краснодар,Мастер-класс,650,30,Обучение уличному искусству от профи.
Ночь электронной музыки,2025-08-22 23:00,Москва,Вечеринка,1500,500,Рейв с известными диджеями.
Лекция "Авангард",2025-05-30 17:00,Самара,Лекция,450,60,Погружаемся в эпоху русского авангарда.
Квиз "Кино vs Музыка",2025-06-18 20:00,Воронеж,Интерактив,500,50,Соревнуемся командами по любимым темам.
Фестиваль пиццы,2025-07-09 13:00,Тула,Фестиваль,400,200,Дегустации и мастер-классы от пиццайоло.
Выставка современного искусства,2025-06-24 11:00,Уфа,Выставка,350,100,Инсталляции и арт-объекты от молодых художников.
Вечер поэзии,2025-05-27 18:00,Пермь,Поэзия,300,40,Тёплая атмосфера, стихи и музыка.
Кибер-турнир по CS:GO,2025-06-14 14:00,Ростов-на-Дону,Игры,800,100,Турнир с призами и живыми комментариями.
Бизнес-интенсив,2025-06-30 09:00,Тюмень,Семинар,2000,80,Практикум для молодых предпринимателей.
Танцевальный баттл,2025-06-20 17:00,Омск,Танцы,700,70,Лучшие команды сражаются за титул.
Открытая йога,2025-07-02 08:00,Челябинск,Спорт,200,150,Зарядись энергией на свежем воздухе.
Инди-рок вечер,2025-07-17 19:30,Москва,Концерт,1000,120,Выступления независимых групп.
Турнир по шахматам,2025-06-10 10:00,Калининград,Интеллект,250,60,Соревнование с участием мастеров спорта.
Экспо "Зелёные технологии",2025-07-20 11:00,Сочи,Выставка,500,300,Экоразработки и устойчивые решения.
